Player Name,Team Name,Price,Year,Price_Cr
Ms dhoni,Chennai Super Kings,15 crore,2018,15.0
Suresh Raina,Chennai Super Kings,11 crore,2018,11.0
Deepak chahar,Chennai Super Kings,8 crore,2018,8.0
Kedar jadhav,Chennai Super Kings,7.8 crore,2018,7.8
Ravindra jadeja,Chennai Super Kings,7 crore,2018,7.0
Dwayne bravo,Chennai Super Kings,6.4 crore,2018,6.4
Karn sharma,Chennai Super Kings,5 crore,2018,5.0
Shane watson,Chennai Super Kings,4 crore,2018,4.0
Shardul thakur,Chennai Super Kings,2.6 crore,2018,2.6
Ambati rayudu,Chennai Super Kings,2.2 crore,2018,2.2
David willey,Chennai Super Kings,2 crore,2018,2.0
Harbhajan singh,Chennai Super Kings,2 crore,2018,2.0
Murali vijay,Chennai Super Kings,2 crore,2018,2.0
Faf du Plessis,Chennai Super Kings,1.6 crore,2018,1.6
Mark wood,Chennai Super Kings,1.5 crore,2018,1.5
Imran Tahir,Chennai Super Kings,1 crore,2018,1.0
Sam billings,Chennai Super Kings,1 crore,2018,1.0
Lungi Ngidi,Chennai Super Kings,0.5 crore,2018,0.5
Km asif,Chennai Super Kings,0.4 crore,2018,0.4
Dhruv shorey,Chennai Super Kings,0.2 crore,2018,0.2
Chris morris,Delhi Daredevils,11 crore,2018,11.0
Glenn maxwell,Delhi Daredevils,9 crore,2018,9.0
Rishabh pant,Delhi Daredevils,8 crore,2018,8.0
Shreyas iyer,Delhi Daredevils,7 crore,2018,7.0
Amit mishra,Delhi Daredevils,4 crore,2018,4.0
Shahbaz nadeem,Delhi Daredevils,3.2 crore,2018,3.2
Vijay shankar,Delhi Daredevils,3.2 crore,2018,3.2
Mohammad shami,Delhi Daredevils,3 crore,2018,3.0
Rahul tewatia,Delhi Daredevils,3 crore,2018,3.0
Gautam Gambhir,Delhi Daredevils,2.8 crore,2018,2.8
Trent boult,Delhi Daredevils,2.2 crore,2018,2.2
Liam Plunkett,Delhi Daredevils,2 crore,2018,2.0
Colin munro,Delhi Daredevils,1.9 crore,2018,1.9
Daniel christian,Delhi Daredevils,1.5 crore,2018,1.5
Jason Roy,Delhi Daredevils,1.5 crore,2018,1.5
Naman Ojha,Delhi Daredevils,1.4 crore,2018,1.4
Prithvi shaw,Delhi Daredevils,1.2 crore,2018,1.2
Avesh khan,Delhi Daredevils,0.75 crore,2018,0.75
Abhishek sharma,Delhi Daredevils,0.55 crore,2018,0.55
Junior Dala,Delhi Daredevils,0.5 crore,2018,0.5
Harshal patel,Delhi Daredevils,0.2 crore,2018,0.2
Sandeep lamichhane,Delhi Daredevils,0.2 crore,2018,0.2
Axar patel,Punjab Kings,12.5 crore,2018,12.5
Lokesh rahul,Punjab Kings,11 crore,2018,11.0
Ravichandran ashwin,Punjab Kings,7.6 crore,2018,7.6
Andrew tye,Punjab Kings,7.2 crore,2018,7.2
Aaron Finch,Punjab Kings,6.2 crore,2018,6.2
Marcus Stoinis,Punjab Kings,6.2 crore,2018,6.2
Karun nair,Punjab Kings,5.6 crore,2018,5.6
Mujeeb zadran,Punjab Kings,4 crore,2018,4.0
Ankit rajpoot,Punjab Kings,3 crore,2018,3.0
David Miller,Punjab Kings,3 crore,2018,3.0
Mohit sharma,Punjab Kings,2.4 crore,2018,2.4
Brainder sran,Punjab Kings,2.2 crore,2018,2.2
Chris gayle,Punjab Kings,2 crore,2018,2.0
Yuvraj singh,Punjab Kings,2 crore,2018,2.0
Mayank dagar,Punjab Kings,1.6 crore,2018,1.6
Akshdeep nath,Punjab Kings,1 crore,2018,1.0
Manoj tiwary,Punjab Kings,1 crore,2018,1.0
Mayank agarwal,Punjab Kings,1 crore,2018,1.0
Chris lynn,Kolkata Knight Riders,9.6 crore,2018,9.6
Andre russell,Kolkata Knight Riders,8.5 crore,2018,8.5
Sunil narine,Kolkata Knight Riders,8.5 crore,2018,8.5
Dinesh karthik,Kolkata Knight Riders,7.4 crore,2018,7.4
Robin uthappa,Kolkata Knight Riders,6.4 crore,2018,6.4
Kuldeep yadav,Kolkata Knight Riders,5.8 crore,2018,5.8
Piyush chawla,Kolkata Knight Riders,4.2 crore,2018,4.2
Nitish rana,Kolkata Knight Riders,3.4 crore,2018,3.4
Shivam mavi,Kolkata Knight Riders,3 crore,2018,3.0
Mitchell johnson,Kolkata Knight Riders,2 crore,2018,2.0
Shubman gill,Kolkata Knight Riders,1.8 crore,2018,1.8
Tom curran,Kolkata Knight Riders,1 crore,2018,1.0
Vinay kumar,Kolkata Knight Riders,1 crore,2018,1.0
Rinku singh,Kolkata Knight Riders,0.8 crore,2018,0.8
Javon searles,Kolkata Knight Riders,0.3 crore,2018,0.3
Prasidh krishna,Kolkata Knight Riders,0.2 crore,2018,0.2
Rohit sharma,Mumbai Indians,15 crore,2018,15.0
Hardik pandya,Mumbai Indians,11 crore,2018,11.0
Krunal pandya,Mumbai Indians,8.8 crore,2018,8.8
Jasprit bumrah,Mumbai Indians,7 crore,2018,7.0
Ishan kishan,Mumbai Indians,6.2 crore,2018,6.2
Kieron Pollard,Mumbai Indians,5.4 crore,2018,5.4
Evin lewis,Mumbai Indians,3.8 crore,2018,3.8
Suryakumar yadav,Mumbai Indians,3.2 crore,2018,3.2
Ben cutting,Mumbai Indians,2.2 crore,2018,2.2
Mustafizur rahman,Mumbai Indians,2.2 crore,2018,2.2
Rahul chahar,Mumbai Indians,1.9 crore,2018,1.9
Pradeep sangwan,Mumbai Indians,1.5 crore,2018,1.5
Jean paul duminy,Mumbai Indians,1 crore,2018,1.0
Mitchell mcclenaghan,Mumbai Indians,1 crore,2018,1.0
Akila dananjaya,Mumbai Indians,0.5 crore,2018,0.5
Aditya tare,Mumbai Indians,0.2 crore,2018,0.2
Mayank markande,Mumbai Indians,0.2 crore,2018,0.2
Ben stokes,Rajasthan Royals,12.5 crore,2018,12.5
Jaydev unadkat,Rajasthan Royals,11.5 crore,2018,11.5
Sanju samson,Rajasthan Royals,8 crore,2018,8.0
Jofra Archer,Rajasthan Royals,7.2 crore,2018,7.2
Krishnappa gowtham,Rajasthan Royals,6.2 crore,2018,6.2
Jos Buttler,Rajasthan Royals,4.4 crore,2018,4.4
Ajinkya rahane,Rajasthan Royals,4 crore,2018,4.0
Rahul tripathi,Rajasthan Royals,3.4 crore,2018,3.4
Dhawal kulkarni,Rajasthan Royals,0.75 crore,2018,0.75
Ben laughlin,Rajasthan Royals,0.5 crore,2018,0.5
Heinrich Klaasen,Rajasthan Royals,0.5 crore,2018,0.5
Ish sodhi,Rajasthan Royals,0.5 crore,2018,0.5
Stuart Binny,Rajasthan Royals,0.5 crore,2018,0.5
Anureet Singh,Rajasthan Royals,0.3 crore,2018,0.3
Ankit sharma,Rajasthan Royals,0.2 crore,2018,0.2
Mahipal lomror,Rajasthan Royals,0.2 crore,2018,0.2
Prashant chopra,Rajasthan Royals,0.2 crore,2018,0.2
Shreyas gopal,Rajasthan Royals,0.2 crore,2018,0.2
Virat kohli,Royal Challengers Bangalore,17 crore,2018,17.0
Ab de villiers,Royal Challengers Bangalore,11 crore,2018,11.0
Chris woakes,Royal Challengers Bangalore,7.4 crore,2018,7.4
Yuzvendra chahal,Royal Challengers Bangalore,6 crore,2018,6.0
Umesh yadav,Royal Challengers Bangalore,4.2 crore,2018,4.2
Brendon mccullum,Royal Challengers Bangalore,3.6 crore,2018,3.6
Washington sundar,Royal Challengers Bangalore,3.2 crore,2018,3.2
Quinton de Kock,Royal Challengers Bangalore,2.8 crore,2018,2.8
Mohammed siraj,Royal Challengers Bangalore,2.6 crore,2018,2.6
Colin de grandhomme,Royal Challengers Bangalore,2.2 crore,2018,2.2
Murugan ashwin,Royal Challengers Bangalore,2.2 crore,2018,2.2
Corey anderson,Royal Challengers Bangalore,2 crore,2018,2.0
Sarfaraz khan,Royal Challengers Bangalore,1.75 crore,2018,1.75
Moeen Ali,Royal Challengers Bangalore,1.7 crore,2018,1.7
Mandeep singh,Royal Challengers Bangalore,1.4 crore,2018,1.4
Manan vohra,Royal Challengers Bangalore,1.1 crore,2018,1.1
Pawan negi,Royal Challengers Bangalore,1 crore,2018,1.0
Tim southee,Royal Challengers Bangalore,1 crore,2018,1.0
Kulwant khejroliya,Royal Challengers Bangalore,0.85 crore,2018,0.85
Parthiv patel,Royal Challengers Bangalore,0.2 crore,2018,0.2
Manish pandey,Sunrisers Hyderabad,11 crore,2018,11.0
Rashid Khan,Sunrisers Hyderabad,9 crore,2018,9.0
Bhuvneshwar kumar,Sunrisers Hyderabad,8.5 crore,2018,8.5
Shikhar dhawan,Sunrisers Hyderabad,5.2 crore,2018,5.2
Wriddhiman saha,Sunrisers Hyderabad,5 crore,2018,5.0
Siddarth kaul,Sunrisers Hyderabad,3.8 crore,2018,3.8
Deepak hooda,Sunrisers Hyderabad,3.6 crore,2018,3.6
Khaleel ahmed,Sunrisers Hyderabad,3 crore,2018,3.0
Sandeep sharma,Sunrisers Hyderabad,3 crore,2018,3.0
Kane williamson,Sunrisers Hyderabad,3 crore,2018,3.0
Carlos brathwaite,Sunrisers Hyderabad,2 crore,2018,2.0
Chris jordan,Sunrisers Hyderabad,2 crore,2018,2.0
Shakib al hasan,Sunrisers Hyderabad,2 crore,2018,2.0
Yusuf Pathan,Sunrisers Hyderabad,1.9 crore,2018,1.9
Alex hales,Sunrisers Hyderabad,1 crore,2018,1.0
Mohammad nabi,Sunrisers Hyderabad,1 crore,2018,1.0
Shreevats goswami,Sunrisers Hyderabad,1 crore,2018,1.0
Basil thampi,Sunrisers Hyderabad,0.95 crore,2018,0.95
Billy stanlake,Sunrisers Hyderabad,0.5 crore,2018,0.5
Ricky bhui,Sunrisers Hyderabad,0.2 crore,2018,0.2
Ms dhoni,Chennai Super Kings,15 crore,2019,15.0
Suresh Raina,Chennai Super Kings,11.0 crore,2019,11.0
Deepak chahar,Chennai Super Kings,8 crore,2019,8.0
Kedar jadhav,Chennai Super Kings,7.8 crore,2019,7.8
Ravindra jadeja,Chennai Super Kings,7 crore,2019,7.0
Dwayne bravo,Chennai Super Kings,6.4 crore,2019,6.4
Mohit sharma,Chennai Super Kings,5 crore,2019,5.0
Karn sharma,Chennai Super Kings,5 crore,2019,5.0
Shane watson,Chennai Super Kings,4 crore,2019,4.0
Shardul thakur,Chennai Super Kings,2.6 crore,2019,2.6
Ambati rayudu,Chennai Super Kings,2.2 crore,2019,2.2
Murali vijay,Chennai Super Kings,2 crore,2019,2.0
Harbhajan singh,Chennai Super Kings,2 crore,2019,2.0
Faf du Plessis,Chennai Super Kings,1.6 crore,2019,1.6
Imran Tahir,Chennai Super Kings,1 crore,2019,1.0
Sam billings,Chennai Super Kings,1 crore,2019,1.0
Mitchell santner,Chennai Super Kings,0.5 crore,2019,0.5
Scott kuggeleijn,Chennai Super Kings,0.5 crore,2019,0.5
Dhruv shorey,Chennai Super Kings,0.2 crore,2019,0.2
Sandeep lamichhane,Delhi Capitals,20 crore,2019,20.0
Chris morris,Delhi Capitals,11 crore,2019,11.0
Rishabh pant,Delhi Capitals,8 crore,2019,8.0
Shreyas iyer,Delhi Capitals,7 crore,2019,7.0
Colin Ingram,Delhi Capitals,6.4 crore,2019,6.4
Shikhar dhawan,Delhi Capitals,5.2 crore,2019,5.2
Axar patel,Delhi Capitals,5 crore,2019,5.0
Kagiso Rabada,Delhi Capitals,4.2 crore,2019,4.2
Amit mishra,Delhi Capitals,4 crore,2019,4.0
Rahul tewatia,Delhi Capitals,3 crore,2019,3.0
Hanuma vihari,Delhi Capitals,2 crore,2019,2.0
Sherfane rutherford,Delhi Capitals,2 crore,2019,2.0
Colin munro,Delhi Capitals,1.9 crore,2019,1.9
Prithvi shaw,Delhi Capitals,1.2 crore,2019,1.2
Ishant sharma,Delhi Capitals,1.1 crore,2019,1.1
Avesh khan,Delhi Capitals,0.7 crore,2019,0.7
Keemo Paul,Delhi Capitals,0.5 crore,2019,0.5
Jagadeesha suchith,Delhi Capitals,0.2 crore,2019,0.2
Harshal patel,Delhi Capitals,0.2 crore,2019,0.2
Trent boult,Delhi Capitals,0 crore,2019,0.0
Lokesh rahul,Punjab Kings,11 crore,2019,11.0
Varun chakravarthy,Punjab Kings,8.4 crore,2019,8.4
Ravichandran ashwin,Punjab Kings,7.6 crore,2019,7.6
Sam Curran,Punjab Kings,7.2 crore,2019,7.2
Andrew tye,Punjab Kings,7.2 crore,2019,7.2
Karun nair,Punjab Kings,5.6 crore,2019,5.6
Mohammad shami,Punjab Kings,4.8 crore,2019,4.8
Simran singh,Punjab Kings,4.8 crore,2019,4.8
Nicholas Pooran,Punjab Kings,4.2 crore,2019,4.2
Ankit rajpoot,Punjab Kings,3 crore,2019,3.0
