Player_Name,Predicted_Price_2026_Cr
Abdul Samad,5.223763
Abhinav Manohar,3.6344547
Abishek Porel,5.5593038
Aiden Markram,5.9046426
Akash Madhwal,2.9551637
Angkrish Raghuvanshi,4.8376284
Anrich Nortje,2.506841
Anshul Kamboj,4.1997066
Ashutosh Sharma,4.8850183
Atharva Taide,2.4233594
Ayush Badoni,6.0519075
David Miller,4.9687853
Devdutt Padikkal,3.8903017
Devon Conway,2.8818643
Dhruv Jurel,7.1947465
Donovan Ferreira,2.1093156
Dushmantha Chameera,2.9218574
Gerald Coetzee,2.813044
Harshit Rana,6.410661
Heinrich Klaasen,16.931065
Jamie Overton,2.5772026
Jitesh Sharma,5.5313287
Jofra Archer,7.7038503
Jos Buttler,10.277371
Josh Hazlewood,3.3895733
Kagiso Rabada,3.067117
Liam Livingstone,4.1412873
Madhav Tiwari,2.1093156
Maheesh Theekshana,5.5116944
Marco Jansen,9.191308
Marcus Stoinis,7.215156
Matheesha Pathirana,6.72429
Mayank Yadav,2.7691438
Moeen Ali,2.7332368
Mukesh Choudhary,2.6014295
Mukesh Kumar,3.5071332
Naman Dhir,5.5313287
Nathan Ellis,2.2632608
Nehal Wadhera,6.304762
Nicholas Pooran,15.322327
Nitish Kumar Reddy,5.178287
Noor Ahmad,6.9411244
Phil Salt,8.358803
Rachin Ravindra,3.8522117
Rahmanullah Gurbaz,2.8434525
Rajat Patidar,5.8668694
Ramandeep Singh,4.3046103
Rashid Khan,9.316302
Ravi Bishnoi,5.5116944
Robin Minz,2.1093156
Ruturaj Gaikwad,4.5397096
Sai Kishore,5.3318424
Sai Sudharsan,7.9512897
Sam Curran,3.2252924
Sameer Rizvi,2.9199543
Shahrukh Khan,5.749723
Shaik Rasheed,2.6768174
Simarjeet Singh,2.696157
Spencer Johnson,2.936274
Suyash Sharma,3.1925495
Tim David,5.102418
Tristan Stubbs,5.586243
Tushar Deshpande,4.4516892
Vaibhav Arora,3.4125447
Vaibhav Suryavanshi,3.2583597
Venkatesh Iyer,4.6871715
Vipraj Nigam,7.8722916
Wanindu Hasaranga,5.18338
Will Jacks,6.1231327
Yash Dayal,5.3024898
Yash Thakur,3.745628
Yashasvi Jaiswal,9.9844265
