Player_Name,TeamName_bat,Matches_bat,TotalRuns,Balls,Dotballs,StrikeRate_bat,Fours,Sixes,Outs,NotOuts,BattingAverage,FiftyPlusRuns,Centuries,HighestScore,Year,TeamName_bowl,Matches_bowl,TotalRunsConceded,DotBallsBowled,ScoringBallsBowled,BowlingAverage,StrikeRate_bowl,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Wides,NoBalls,Wickets,Maidens,FourWickets,FiveWickets,Hattricks,Team Name,Price,Price_Cr
Aaron Finch,Punjab Kings,10.0,134.0,100.0,,134.0,6.0,8.0,8.0,1.0,16.75,0.0,0.0,46,2018,,,,,,,,,,,,,,,,,,,Punjab Kings,6.2 crore,6.2
Aaron Finch,Royal Challengers Bangalore,12.0,268.0,241.0,,111.2,28.0,8.0,12.0,0.0,22.33,1.0,0.0,52,2020,,,,,,,,,,,,,,,,,,,Royal Challengers Bangalore,4.4 crore,4.4
Aaron Finch,Kolkata Knight Riders,5.0,86.0,61.0,26.0,140.98,10.0,3.0,5.0,0.0,17.20,1.0,0.0,58,2022,,,,,,,,,,,,,,,,,,,Kolkata Knight Riders,1.5 crore,1.5
Abdul Basith,Rajasthan Royals,1.0,1.0,1.0,0.0,100.0,0.0,0.0,0.0,1.0,-,0.0,0.0,1*,2023,,,,,,,,,,,,,,,,,,,Rajasthan Royals,0.2 crore,0.2
Abdul Samad,Sunrisers Hyderabad,12.0,111.0,65.0,,170.76,8.0,6.0,5.0,3.0,22.2,0.0,0.0,33,2020,Sunrisers Hyderabad,12.0,96.0,9.0,,96.0,42.0,,,13.71,7.0,,,1.0,0.0,0.0,0.0,0.0,Sunrisers Hyderabad,0.2 crore,0.2
Abdul Samad,Sunrisers Hyderabad,11.0,111.0,87.0,,127.58,4.0,8.0,9.0,1.0,12.33,0.0,0.0,28,2021,,,,,,,,,,,,,,,,,,,Sunrisers Hyderabad,0.2 crore,0.2
Abdul Samad,Sunrisers Hyderabad,2.0,4.0,7.0,3.0,57.14,0.0,0.0,2.0,0.0,2.00,0.0,0.0,4,2022,,,,,,,,,,,,,,,,,,,Sunrisers Hyderabad,4 crore,4.0
Abdul Samad,Sunrisers Hyderabad,9.0,169.0,128.0,52.0,132.03,10.0,11.0,4.0,4.0,42.25,0.0,0.0,37*,2023,,,,,,,,,,,,,,,,,,,Sunrisers Hyderabad,4 crore,4.0
Abdul Samad,Sunrisers Hyderabad,16.0,182.0,108.0,32.0,168.51,15.0,11.0,10.0,2.0,18.20,0.0,0.0,37*,2024,,,,,,,,,,,,,,,,,,,Sunrisers Hyderabad,4 crore,4.0
Abdul Samad,Lucknow Super Giants,13.0,164.0,93.0,27.0,176.34,8.0,14.0,8.0,4.0,20.50,0.0,0.0,45,2025,,,,,,,,,,,,,,,,,,,Lucknow Supergiants,4.2 crore,4.2
Abhijeet Tomar,Kolkata Knight Riders,1.0,4.0,8.0,7.0,50.0,1.0,0.0,1.0,0.0,4.00,0.0,0.0,4,2022,,,,,,,,,,,,,,,,,,,Kolkata Knight Riders,0.4,0.4
Abhinav Manohar,Gujarat Titans,8.0,108.0,75.0,26.0,144.0,14.0,3.0,6.0,1.0,18.00,0.0,0.0,43,2022,,,,,,,,,,,,,,,,,,,Gujarat Titans,2.6 crore,2.6
Abhinav Manohar,Gujarat Titans,9.0,114.0,83.0,25.0,137.34,6.0,7.0,6.0,0.0,19.00,0.0,0.0,42,2023,,,,,,,,,,,,,,,,,,,Gujarat Titans,2.6 crore,2.6
Abhinav Manohar,Gujarat Titans,2.0,9.0,16.0,11.0,56.25,1.0,0.0,2.0,0.0,4.50,0.0,0.0,8,2024,,,,,,,,,,,,,,,,,,,Gujarat Titans,2.6 crore,2.6
Abhinav Manohar,Sunrisers Hyderabad,8.0,61.0,61.0,29.0,100.0,2.0,4.0,5.0,0.0,12.20,0.0,0.0,43,2025,,,,,,,,,,,,,,,,,,,Sunrisers Hyderabad,3.2 crore,3.2
Abhishek Sharma,Sunrisers Hyderabad,14.0,426.0,320.0,126.0,133.12,47.0,13.0,14.0,0.0,30.43,2.0,0.0,75,2022,,,,,,,,,,,,,,,,,,,Sunrisers Hyderabad,6.5,6.5
Abishek Porel,Delhi Capitals,4.0,33.0,31.0,12.0,106.45,1.0,2.0,4.0,0.0,8.25,0.0,0.0,20,2023,,,,,,,,,,,,,,,,,,,Delhi Capitals,0.20 crore,0.2
Abishek Porel,Delhi Capitals,14.0,327.0,205.0,70.0,159.51,36.0,13.0,10.0,2.0,32.70,2.0,0.0,65,2024,,,,,,,,,,,,,,,,,,,Delhi Capitals,1.0 crore,1.0
Abishek Porel,Delhi Capitals,13.0,301.0,205.0,60.0,146.82,28.0,12.0,12.0,1.0,25.08,1.0,0.0,51,2025,,,,,,,,,,,,,,,,,,,Delhi Capitals,4 crore,4.0
Adam Milne,Mumbai Indians,4.0,16.0,17.0,,94.11,0.0,1.0,2.0,1.0,8.0,0.0,0.0,15,2021,Mumbai Indians,4.0,131.0,31.0,,43.66,28.0,,,9.35,14.0,,,3.0,0.0,0.0,0.0,0.0,Mumbai Indians,"3,20,00,000",3.2
Adil Rashid,Sunrisers Hyderabad,2.0,22.0,16.0,7.0,137.5,2.0,1.0,2.0,0.0,11.00,0.0,0.0,18,2023,Sunrisers Hyderabad,2.0,56.0,14.0,28.0,28.0,21.0,53.57,7.0,8.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,,Sunrisers Hyderabad,2 crore,2.0
Aiden Markram,Sunrisers Hyderabad,14.0,381.0,274.0,79.0,139.05,25.0,19.0,8.0,4.0,47.63,3.0,0.0,68*,2022,Sunrisers Hyderabad,14.0,64.0,8.0,28.0,64.0,36.0,68.75,4.5,10.66,6.0,0.0,0.0,1.0,0.0,0.0,0.0,,Sunrisers Hyderabad,2.6 crore,2.6
Aiden Markram,Sunrisers Hyderabad,14.0,381.0,274.0,79.0,139.05,25.0,19.0,8.0,4.0,47.63,3.0,0.0,68*,2022,Sunrisers Hyderabad,14.0,64.0,8.0,28.0,64.0,36.0,68.75,4.5,10.66,6.0,0.0,0.0,1.0,0.0,0.0,0.0,,Sunrisers Hyderabad,2.6,2.6
Aiden Markram,Sunrisers Hyderabad,13.0,248.0,197.0,57.0,125.88,18.0,8.0,11.0,2.0,22.55,1.0,0.0,50,2023,Sunrisers Hyderabad,13.0,70.0,12.0,37.0,70.0,49.0,54.28,5.44,8.57,8.1,0.0,0.0,1.0,0.0,0.0,0.0,,Sunrisers Hyderabad,2.6 crore,2.6
Aiden Markram,Sunrisers Hyderabad,11.0,220.0,177.0,49.0,124.29,18.0,4.0,9.0,2.0,24.44,1.0,0.0,50,2024,,,,,,,,,,,,,,,,,,,Sunrisers Hyderabad,2.6 crore,2.6
Aiden Markram,Lucknow Super Giants,13.0,445.0,299.0,100.0,148.82,38.0,22.0,13.0,0.0,34.23,5.0,0.0,66,2025,Lucknow Super Giants,13.0,102.0,15.0,53.0,25.5,16.5,52.94,6.6,9.27,11.0,2.0,0.0,4.0,0.0,0.0,0.0,,Lucknow Supergiants,2 crore,2.0
Ajinkya Rahane,Kolkata Knight Riders,7.0,133.0,128.0,62.0,103.9,14.0,4.0,7.0,0.0,19.00,0.0,0.0,44,2022,,,,,,,,,,,,,,,,,,,Kolkata Knight Riders,1.0,1.0
