BowlerName,TeamName,Matches,TotalRunsConceded,DotBallsBowled,ScoringBallsBowled,BowlingAverage,StrikeRate,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Wides,NoBalls,Wickets,Maidens,FourWickets,FiveWickets,Hattricks,Year
Andrew Tye,Punjab Kings,14,448,116,,18.66,14.0,,,8.0,56.0,,,24,0,3,0,0.0,2018
Siddarth Kaul,Sunrisers Hyderabad,17,547,131,,26.04,18.85,,,8.28,66.0,,,21,0,0,0,0.0,2018
Rashid Khan,Sunrisers Hyderabad,17,458,167,,21.8,19.42,,,6.73,68.0,,,21,1,0,0,0.0,2018
Umesh Yadav,Royal Challengers Bangalore,14,418,148,,20.9,15.95,,,7.86,53.0,,,20,1,0,0,0.0,2018
Hardik Pandya,Mumbai Indians,13,381,98,,21.16,14.22,,,8.92,42.0,,,18,0,0,0,0.0,2018
Trent Boult,Delhi Capitals,14,466,118,,25.88,17.55,,,8.84,52.0,,,18,1,0,0,0.0,2018
Jasprit Bumrah,Mumbai Indians,14,372,133,,21.88,19.05,,,6.88,54.0,,,17,0,0,0,0.0,2018
Sunil Narine,Kolkata Knight Riders,16,467,137,,27.47,21.52,,,7.65,61.0,,,17,0,0,0,0.0,2018
Kuldeep Yadav,Kolkata Knight Riders,16,418,94,,24.58,18.11,,,8.14,51.0,,,17,0,1,0,0.0,2018
Shardul Thakur,Chennai Super Kings,13,431,113,,26.93,17.5,,,9.23,46.0,,,16,1,0,0,0.0,2018
Jofra Archer,Mumbai Indians,10,325,98,,21.66,15.53,,,8.36,39.0,,,15,0,0,0,0.0,2018
Mayank Markande,Mumbai Indians,14,368,87,,24.53,17.6,,,8.36,44.0,,,15,0,1,0,0.0,2018
Dwayne Bravo,Chennai Super Kings,16,533,90,,38.07,22.92,,,9.96,53.0,,,14,1,0,0,0.0,2018
Mitchell McClenaghan,Mumbai Indians,11,332,103,,23.71,17.14,,,8.3,40.0,,,14,0,0,0,0.0,2018
Mujeeb Ur Rahman,Punjab Kings,11,289,93,,20.64,17.71,,,6.99,41.0,,,14,0,0,0,0.0,2018
Piyush Chawla,Kolkata Knight Riders,15,412,110,,29.42,21.0,,,8.4,49.0,,,14,0,0,0,0.0,2018
Shakib Al Hasan,Sunrisers Hyderabad,17,456,98,,32.57,24.42,,,8.0,57.0,,,14,0,0,0,0.0,2018
Andre Russell,Kolkata Knight Riders,16,355,76,,27.3,17.46,,,9.38,38.0,,,13,0,0,0,0.0,2018
Sandeep Sharma,Sunrisers Hyderabad,12,333,116,,27.75,22.0,,,7.56,44.0,,,12,0,0,0,0.0,2018
Krunal Pandya,Mumbai Indians,14,284,85,,23.66,20.08,,,7.07,40.0,,,12,0,0,0,0.0,2018
Amit Mishra,Delhi Capitals,10,264,74,,22.0,18.5,,,7.13,37.0,,,12,1,0,0,0.0,2018
Yuzvendra Chahal,Royal Challengers Bangalore,14,363,128,,30.25,25.0,,,7.26,50.0,,,12,1,0,0,0.0,2018
Ankit Rajpoot,Punjab Kings,8,223,80,,20.27,14.27,,,8.52,26.0,,,11,1,0,1,0.0,2018
Mohammed Siraj,Royal Challengers Bangalore,11,367,90,,33.36,22.36,,,8.95,41.0,,,11,0,0,0,0.0,2018
Lungi Ngidi ,Chennai Super Kings,7,156,79,,14.18,14.18,,,6.0,26.0,,,11,2,1,0,0.0,2018
Krishnappa Gowtham,Rajasthan Royals,15,312,90,,28.36,21.81,,,7.8,40.0,,,11,0,0,0,0.0,2018
Ravindra Jadeja,Chennai Super Kings,16,303,82,,27.54,22.36,,,7.39,41.0,,,11,0,0,0,0.0,2018
Jaydev Unadkat,Mumbai Indians,15,486,97,,44.18,27.45,,,9.65,50.0,,,11,0,0,0,0.0,2018
Shreyas Gopal,Rajasthan Royals,11,236,68,,21.45,16.9,,,7.61,31.0,,,11,0,1,0,0.0,2018
Deepak Chahar,Chennai Super Kings,12,278,117,,27.8,22.9,,,7.28,38.0,,,10,1,0,0,0.0,2018
Prasidh Krishna,Kolkata Knight Riders,7,260,60,,26.0,16.8,,,9.28,28.0,,,10,0,1,0,0.0,2018
Ravichandran Ashwin,Punjab Kings,14,410,77,,41.0,30.4,,,8.09,50.0,,,10,0,0,0,0.0,2018
Ben Laughlin,Rajasthan Royals,7,211,34,,23.44,14.0,,,10.04,21.0,,,9,0,0,0,0.0,2018
