BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks,Year,InningsRuns,ClientPlayerID
Andrew Tye,,,PBKS,Punjab Kings,14,,14,,30,,448,116,,,18.66,14.0,14.0,,,8.0,56.0,,,,2,1,,,,,24,,,,May-17,May-17,0,,3,0,,0.0,2018,,
Siddarth Kaul,,,SRH,Sunrisers Hyderabad,17,,17,,64,,547,131,,,26.04,18.85,18.85,,,8.28,66.0,,,,0,0,,,,,21,,,,Apr-29,Apr-29,0,,0,0,,0.0,2018,,
Rashid Khan,,,SRH,Sunrisers Hyderabad,17,,17,,218,,458,167,,,21.8,19.42,19.42,,,6.73,68.0,,,,3,6,,,,,21,,,,Mar-19,Mar-19,1,,0,0,,0.0,2018,,
Umesh Yadav,,,RCB,Royal Challengers Bangalore,14,,14,,21,,418,148,,,20.9,15.95,15.95,,,7.86,53.0,,,,0,0,,,,,20,,,,Apr-24,Apr-24,1,,0,0,,0.0,2018,,
Hardik Pandya,,,MI,Mumbai Indians,13,,13,,54,,381,98,,,21.16,14.22,14.22,,,8.92,42.0,,,,20,11,,,,,18,,,,Mar-20,Mar-20,0,,0,0,,0.0,2018,,
Trent Boult,,,DC,Delhi Capitals,14,,14,,66,,466,118,,,25.88,17.55,17.55,,,8.84,52.0,,,,0,0,,,,,18,,,,Apr-18,Apr-18,1,,0,0,,0.0,2018,,
Jasprit Bumrah,,,MI,Mumbai Indians,14,,14,,9,,372,133,,,21.88,19.05,19.05,,,6.88,54.0,,,,1,0,,,,,17,,,,Apr-14,Apr-14,0,,0,0,,0.0,2018,,
Sunil Narine,,,KKR,Kolkata Knight Riders,16,,16,,156,,467,137,,,27.47,21.52,21.52,,,7.65,61.0,,,,40,23,,,,,17,,,,May-19,May-19,0,,0,0,,0.0,2018,,
Kuldeep Yadav,,,KKR,Kolkata Knight Riders,16,,16,,14,,418,94,,,24.58,18.11,18.11,,,8.14,51.0,,,,1,0,,,,,17,,,,Apr-20,Apr-20,0,,1,0,,0.0,2018,,
Shardul Thakur,,,CSK,Chennai Super Kings,13,,13,,105,,431,113,,,26.93,17.5,17.5,,,9.23,46.0,,,,3,0,,,,,16,,,,Mar-19,Mar-19,1,,0,0,,0.0,2018,,
Jofra Archer,,,RR,Mumbai Indians,10,,10,,181,,325,98,,,21.66,15.53,15.53,,,8.36,39.0,,,,2,0,,,,,15,,,,Mar-15,Mar-15,0,,0,0,,0.0,2018,,
Mayank Markande,,,MI,Mumbai Indians,14,,14,,87,,368,87,,,24.53,17.6,17.6,,,8.36,44.0,,,,2,0,,,,,15,,,,Apr-23,Apr-23,0,,1,0,,0.0,2018,,
Dwayne Bravo,,,CSK,Chennai Super Kings,16,,16,,93,,533,90,,,38.07,22.92,22.92,,,9.96,53.0,,,,8,10,,,,,14,,,,Apr-22,Apr-22,1,,0,0,,0.0,2018,,
