StrikerName,TeamName,Matches,TotalRuns,Balls,Dotballs,StrikeRate,Fours,Sixes,Outs,NotOuts,BattingAverage,FiftyPlusRuns,Centuries,HighestScore,Year
Kane Williamson,Sunrisers Hyderabad,17,735,516,,142.44,64,28,14,3,52.5,8,0,84,2018
Rishabh Pant,Delhi Capitals,14,684,394,,173.6,68,37,13,1,52.61,5,1,128*,2018
KL Rahul,Punjab Kings,14,659,416,,158.41,66,32,12,2,54.91,6,0,95*,2018
Ambati Rayudu,Chennai Super Kings,16,602,402,,149.75,53,34,14,2,43.0,3,1,100*,2018
Shane Watson,Chennai Super Kings,15,555,359,,154.59,44,35,14,1,39.64,2,2,117*,2018
Jos Buttler,Rajasthan Royals,13,548,353,,155.24,52,21,10,3,54.8,5,0,95*,2018
Virat Kohli,Royal Challengers Bangalore,14,530,381,,139.1,52,18,11,3,48.18,4,0,92*,2018
Suryakumar Yadav,Mumbai Indians,14,512,384,,133.33,61,16,14,0,36.57,4,0,72,2018
Dinesh Karthik,Kolkata Knight Riders,16,498,337,,147.77,49,16,10,6,49.8,2,0,52,2018
Shikhar Dhawan,Sunrisers Hyderabad,16,497,363,,136.91,59,14,13,3,38.23,4,0,92*,2018
Chris Lynn,Kolkata Knight Riders,16,491,377,,130.23,56,18,15,1,32.73,3,0,74,2018
AB de Villiers,Royal Challengers Bangalore,12,480,275,,174.54,39,30,9,2,53.33,6,0,90*,2018
MS Dhoni,Chennai Super Kings,16,455,302,,150.66,24,30,6,9,75.83,3,0,79*,2018
Suresh Raina,Chennai Super Kings,15,445,336,,132.44,46,12,12,3,37.08,4,0,75*,2018
Sanju Samson,Rajasthan Royals,15,441,320,,137.81,30,19,14,1,31.5,3,0,92*,2018
Shreyas Iyer,Delhi Capitals,14,411,310,,132.58,29,21,11,3,37.36,4,0,93*,2018
Evin Lewis,Mumbai Indians,13,382,276,,138.4,32,24,13,0,29.38,2,0,65,2018
Ajinkya Rahane,Rajasthan Royals,15,370,313,,118.21,39,5,13,1,28.46,1,0,65*,2018
Chris Gayle,Punjab Kings,11,368,252,,146.03,30,27,9,2,40.88,3,1,104*,2018
Sunil Narine,Kolkata Knight Riders,16,357,188,,189.89,40,23,16,0,22.31,2,0,75,2018
Robin Uthappa,Kolkata Knight Riders,16,351,265,,132.45,30,21,16,0,21.93,1,0,54,2018
Andre Russell,Kolkata Knight Riders,16,316,171,,184.79,17,31,11,3,28.72,1,0,88*,2018
Nitish Rana,Kolkata Knight Riders,15,304,232,,131.03,26,14,13,2,23.38,1,0,59,2018
Karun Nair,Punjab Kings,13,301,221,,136.19,23,13,12,0,25.08,2,0,54,2018
Rohit Sharma,Mumbai Indians,14,286,215,,133.02,25,12,12,2,23.83,2,0,94,2018
Manish Pandey,Sunrisers Hyderabad,15,284,246,,115.44,22,5,11,2,25.81,3,0,62*,2018
Ishan Kishan,Mumbai Indians,14,275,184,,149.45,22,17,12,0,22.91,2,0,62,2018
Hardik Pandya,Mumbai Indians,13,260,195,,133.33,20,11,9,4,28.88,1,0,50,2018
Yusuf Pathan,Sunrisers Hyderabad,15,260,200,,130.0,22,11,9,4,28.88,0,0,45*,2018
Mandeep Singh,Royal Challengers Bangalore,14,252,186,,135.48,16,11,10,3,25.2,0,0,47*,2018
Prithvi Shaw,Delhi Capitals,9,245,160,,153.12,27,10,9,0,27.22,2,0,65,2018
Shakib Al Hasan,Sunrisers Hyderabad,17,239,197,,121.31,26,5,11,2,21.72,0,0,35,2018
Krunal Pandya,Mumbai Indians,14,228,157,,145.22,22,10,10,3,22.8,0,0,41*,2018
Rahul Tripathi,Rajasthan Royals,12,226,167,,135.32,18,8,9,3,25.11,1,0,80*,2018
Vijay Shankar,Delhi Capitals,13,212,148,,143.24,11,11,4,7,53.0,1,0,54*,2018
Shubman Gill,Kolkata Knight Riders,13,203,139,,146.04,22,5,6,5,33.83,1,0,57*,2018
Quinton de Kock,Royal Challengers Bangalore,8,201,162,,124.07,20,8,8,0,25.12,1,0,53,2018
Ben Stokes,Rajasthan Royals,13,196,161,,121.73,13,6,12,1,16.33,0,0,45,2018
Glenn Maxwell,Delhi Capitals,12,169,120,,140.83,14,9,12,0,14.08,0,0,47,2018
Faf du Plessis,Chennai Super Kings,6,162,129,,125.58,17,6,5,1,32.4,1,0,67*,2018
Parthiv Patel,Royal Challengers Bangalore,6,153,109,,140.36,20,4,5,1,30.6,1,0,53,2018
Alex Hales,Sunrisers Hyderabad,6,148,118,,125.42,13,6,6,0,24.66,0,0,45,2018
Dwayne Bravo,Chennai Super Kings,16,141,91,,154.94,8,10,4,6,35.25,1,0,68,2018
Aaron Finch,Punjab Kings,10,134,100,,134.0,6,8,8,1,16.75,0,0,46,2018
Kieron Pollard,Mumbai Indians,9,133,100,,133.0,10,7,7,1,19.0,1,0,50,2018
Colin de Grandhomme,Royal Challengers Bangalore,9,131,84,,155.95,4,10,5,3,26.2,0,0,40,2018
Brendon McCullum,Royal Challengers Bangalore,6,127,88,,144.31,16,6,6,0,21.16,0,0,43,2018
Krishnappa Gowtham,Rajasthan Royals,15,126,64,,196.87,9,9,9,4,14.0,0,0,33*,2018
Wriddhiman Saha,Sunrisers Hyderabad,11,122,102,,119.6,17,1,8,2,15.25,0,0,35,2018
Jason Roy,Delhi Capitals,5,120,94,,127.65,9,7,4,1,30.0,1,0,91*,2018
Mayank Agarwal,Punjab Kings,11,120,94,,127.65,9,5,10,1,12.0,0,0,30,2018
D'Arcy Short,Rajasthan Royals,7,115,99,,116.16,11,5,7,0,16.42,0,0,44,2018
Sam Billings,Chennai Super Kings,10,108,78,,138.46,8,5,8,0,13.5,1,0,56,2018
Ravichandran Ashwin,Punjab Kings,14,102,71,,143.66,7,5,8,1,12.75,0,0,45,2018
Marcus Stoinis,Punjab Kings,7,99,76,,130.26,6,4,4,3,24.75,0,0,29*,2018
Ben Cutting,Mumbai Indians,9,96,58,,165.51,5,8,4,2,24.0,0,0,37,2018
Ravindra Jadeja,Chennai Super Kings,16,89,74,,120.27,3,4,5,5,17.8,0,0,27*,2018
Deepak Hooda,Sunrisers Hyderabad,9,87,81,,107.4,2,3,4,4,21.75,0,0,32*,2018
Gautam Gambhir,Delhi Capitals,6,85,88,,96.59,8,1,5,0,17.0,1,0,55,2018
Axar Patel,Punjab Kings,9,80,69,,115.94,3,4,6,2,13.33,0,0,19,2018
Moeen Ali,Royal Challengers Bangalore,5,77,46,,167.39,4,6,4,0,19.25,1,0,65,2018
Carlos Brathwaite,Sunrisers Hyderabad,4,75,48,,156.25,1,8,3,1,25.0,0,0,43*,2018
David Miller,Punjab Kings,3,74,64,,115.62,3,2,2,1,37.0,0,0,26,2018
Washington Sundar,Royal Challengers Bangalore,7,65,38,,171.05,5,4,3,3,21.66,0,0,35,2018
Yuvraj Singh,Punjab Kings,8,65,73,,89.04,6,2,6,0,10.83,0,0,20,2018
Abhishek Sharma,Delhi Capitals,3,63,33,,190.9,3,5,1,2,63.0,0,0,46*,2018
Colin Munro,Delhi Capitals,5,63,41,,153.65,7,4,5,0,12.6,0,0,33,2018
Harshal Patel,Delhi Capitals,5,60,33,,181.81,1,6,1,1,60.0,0,0,36*,2018
Rashid Khan,Sunrisers Hyderabad,17,59,31,,190.32,3,6,5,2,11.8,0,0,34*,2018
Heinrich Klaasen,Rajasthan Royals,4,57,47,,121.27,5,1,3,1,19.0,0,0,32,2018
Manan Vohra,Royal Challengers Bangalore,4,55,47,,117.02,2,4,4,0,13.75,0,0,45,2018
Shreevats Goswami,Sunrisers Hyderabad,6,52,40,,130.0,6,1,3,0,17.33,0,0,35,2018
Tim Southee,Royal Challengers Bangalore,8,52,46,,113.04,5,1,2,2,26.0,0,0,36*,2018
Sarfaraz Khan,Royal Challengers Bangalore,7,51,41,,124.39,7,1,5,1,10.2,0,0,22*,2018
Rahul Tewatia,Delhi Capitals,8,50,43,,116.27,5,1,3,2,16.66,0,0,24,2018
Shreyas Gopal,Rajasthan Royals,11,50,45,,111.11,5,0,3,1,16.66,0,0,24,2018
Deepak Chahar,Chennai Super Kings,12,50,29,,172.41,1,4,3,1,16.66,0,0,39,2018
Jaydev Unadkat,Rajasthan Royals,15,49,38,,128.94,6,1,4,3,12.25,0,0,26,2018
Manoj Tiwary,Punjab Kings,5,47,44,,106.81,4,1,3,1,15.66,0,0,35,2018
Chris Morris,Delhi Capitals,4,46,26,,176.92,3,2,1,3,46.0,0,0,27*,2018
Stuart Binny,Rajasthan Royals,7,44,39,,112.82,2,2,5,0,8.8,0,0,22,2018
JP Duminy,Mumbai Indians,6,36,40,,90.0,3,1,1,3,36.0,0,0,23,2018
Andrew Tye,Punjab Kings,14,32,38,,84.21,2,1,6,2,5.33,0,0,14,2018
Rinku Singh,Kolkata Knight Riders,4,29,31,,93.54,4,0,4,0,7.25,0,0,16,2018
Harbhajan Singh,Chennai Super Kings,13,29,36,,80.55,3,1,3,0,9.66,0,0,19,2018
Piyush Chawla,Kolkata Knight Riders,15,27,34,,79.41,1,1,4,3,6.75,0,0,12,2018
Dan Christian,Delhi Capitals,4,26,33,,78.78,0,1,2,1,13.0,0,0,13,2018
Mohammed Siraj,Royal Challengers Bangalore,11,25,22,,113.63,2,1,2,2,12.5,0,0,14,2018
Kedar Jadhav,Chennai Super Kings,1,24,22,,109.09,1,2,0,1,0.0,0,0,24*,2018
Tom Curran,Kolkata Knight Riders,5,23,28,,82.14,3,0,3,1,7.66,0,0,18,2018
Mayank Markande,Mumbai Indians,14,21,24,,87.5,2,0,2,4,10.5,0,0,7*,2018
Mahipal Lomror,Rajasthan Royals,2,20,21,,95.23,1,0,1,1,20.0,0,0,11,2018
Mohammad Nabi,Sunrisers Hyderabad,2,18,12,,150.0,3,0,2,0,9.0,0,0,14,2018
Corey Anderson,Royal Challengers Bangalore,3,17,22,,77.27,0,1,3,0,5.66,0,0,15,2018
Chris Woakes,Royal Challengers Bangalore,5,17,19,,89.47,1,1,2,2,8.5,0,0,11,2018
Mitchell Johnson,Kolkata Knight Riders,6,16,11,,145.45,2,0,0,2,0.0,0,0,12*,2018
Jofra Archer,Rajasthan Royals,10,15,21,,71.42,2,0,5,3,3.0,0,0,8,2018
Shardul Thakur,Chennai Super Kings,13,15,5,,300.0,3,0,0,1,0.0,0,0,15*,2018
Shivam Mavi,Kolkata Knight Riders,9,13,15,,86.66,1,0,3,1,4.33,0,0,7,2018
Bhuvneshwar Kumar,Sunrisers Hyderabad,12,13,16,,81.25,1,0,2,2,6.5,0,0,7,2018
Murali Vijay,Chennai Super Kings,1,12,10,,120.0,0,1,1,0,12.0,0,0,12,2018
Kuldeep Yadav,Kolkata Knight Riders,16,12,24,,50.0,1,0,1,2,12.0,0,0,7*,2018
Ankit Rajpoot,Punjab Kings,8,11,18,,61.11,1,0,3,0,3.66,0,0,8,2018
Mitchell McClenaghan,Mumbai Indians,11,11,10,,110.0,1,1,2,3,5.5,0,0,11*,2018
Mohit Sharma,Punjab Kings,9,10,13,,76.92,1,0,1,3,10.0,0,0,4*,2018
Mujeeb Ur Rahman,Punjab Kings,11,10,7,,142.85,2,0,1,1,10.0,0,0,10*,2018
Jasprit Bumrah,Mumbai Indians,14,10,11,,90.9,1,0,1,2,10.0,0,0,6*,2018
Akshdeep Nath,Punjab Kings,1,9,13,,69.23,1,0,1,0,9.0,0,0,9,2018
Dhruv Shorey,Chennai Super Kings,1,8,9,,88.88,0,1,1,0,8.0,0,0,8,2018
