StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,Year,ClientPlayerID
Kane Williamson,65,17,,,,10010,,,SRH,Sunrisers Hyderabad,10010,,,17,,735,516,,142.44,,,,,,,,,,64,28,64.0,28.0,14,3,52.5,8,0,,84,52.5,,,2018,
Rishabh Pant,18,14,,,,10010,,,DC,Delhi Capitals,10010,,,14,,684,394,,173.6,,,,,,,,,,68,37,68.0,37.0,13,1,52.61,5,1,,128*,52.61,,,2018,
KL Rahul,19,14,,,,10010,,,PBKS,Punjab Kings,10010,,,14,,659,416,,158.41,,,,,,,,,,66,32,66.0,32.0,12,2,54.91,6,0,,95*,54.91,,,2018,
Ambati Rayudu,60,16,,,,10010,,,CSK,Chennai Super Kings,10010,,,16,,602,402,,149.75,,,,,,,,,,53,34,53.0,34.0,14,2,43.0,3,1,,100*,43.0,,,2018,
Shane Watson,104,15,,,,10010,,,CSK,Chennai Super Kings,10010,,,15,,555,359,,154.59,,,,,,,,,,44,35,44.0,35.0,14,1,39.64,2,2,,117*,39.64,,,2018,
Jos Buttler,182,13,,,,10010,,,RR,Rajasthan Royals,10010,,,13,,548,353,,155.24,,,,,,,,,,52,21,52.0,21.0,10,3,54.8,5,0,,95*,54.8,,,2018,
Virat Kohli,2,14,,,,10010,,,RCB,Royal Challengers Bangalore,10010,,,14,,530,381,,139.1,,,,,,,,,,52,18,52.0,18.0,11,3,48.18,4,0,,92*,48.18,,,2018,
Suryakumar Yadav,174,14,,,,10010,,,MI,Mumbai Indians,10010,,,14,,512,384,,133.33,,,,,,,,,,61,16,61.0,16.0,14,0,36.57,4,0,,72,36.57,,,2018,
Dinesh Karthik,13,16,,,,10010,,,KKR,Kolkata Knight Riders,10010,,,16,,498,337,,147.77,,,,,,,,,,49,16,49.0,16.0,10,6,49.8,2,0,,52,49.8,,,2018,
Shikhar Dhawan,11,16,,,,10010,,,SRH,Sunrisers Hyderabad,10010,,,16,,497,363,,136.91,,,,,,,,,,59,14,59.0,14.0,13,3,38.23,4,0,,92*,38.23,,,2018,
Chris Lynn,27,16,,,,10010,,,KKR,Kolkata Knight Riders,10010,,,16,,491,377,,130.23,,,,,,,,,,56,18,56.0,18.0,15,1,32.73,3,0,,74,32.73,,,2018,
AB de Villiers,198,12,,,,10010,,,RCB,Royal Challengers Bangalore,10010,,,11,,480,275,,174.54,,,,,,,,,,39,30,39.0,30.0,9,2,53.33,6,0,,90*,53.33,,,2018,
MS Dhoni,57,16,,,,10010,,,CSK,Chennai Super Kings,10010,,,15,,455,302,,150.66,,,,,,,,,,24,30,24.0,30.0,6,9,75.83,3,0,,79*,75.83,,,2018,
Suresh Raina,106,15,,,,10010,,,CSK,Chennai Super Kings,10010,,,15,,445,336,,132.44,,,,,,,,,,46,12,46.0,12.0,12,3,37.08,4,0,,75*,37.08,,,2018,
Sanju Samson,190,15,,,,10010,,,RR,Rajasthan Royals,10010,,,15,,441,320,,137.81,,,,,,,,,,30,19,30.0,19.0,14,1,31.5,3,0,,92*,31.5,,,2018,
Shreyas Iyer,12,14,,,,10010,,,DC,Delhi Capitals,10010,,,14,,411,310,,132.58,,,,,,,,,,29,21,29.0,21.0,11,3,37.36,4,0,,93*,37.36,,,2018,
Evin Lewis,163,13,,,,10010,,,MI,Mumbai Indians,10010,,,13,,382,276,,138.4,,,,,,,,,,32,24,32.0,24.0,13,0,29.38,2,0,,65,29.38,,,2018,
Ajinkya Rahane,44,15,,,,10010,,,RR,Rajasthan Royals,10010,,,14,,370,313,,118.21,,,,,,,,,,39,5,39.0,5.0,13,1,28.46,1,0,,65*,28.46,,,2018,
Chris Gayle,126,11,,,,10010,,,PBKS,Punjab Kings,10010,,,11,,368,252,,146.03,,,,,,,,,,30,27,30.0,27.0,9,2,40.88,3,1,,104*,40.88,,,2018,
Sunil Narine,156,16,,,,10010,,,KKR,Kolkata Knight Riders,10010,,,16,,357,188,,189.89,,,,,,,,,,40,23,40.0,23.0,16,0,22.31,2,0,,75,22.31,,,2018,
Robin Uthappa,153,16,,,,10010,,,KKR,Kolkata Knight Riders,10010,,,16,,351,265,,132.45,,,,,,,,,,30,21,30.0,21.0,16,0,21.93,1,0,,54,21.93,,,2018,
Andre Russell,141,16,,,,10010,,,KKR,Kolkata Knight Riders,10010,,,14,,316,171,,184.79,,,,,,,,,,17,31,17.0,31.0,11,3,28.72,1,0,,88*,28.72,,,2018,
